Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.07682,0.3,0,0,0,-0.0373195,0.0787932,-0.059058,0.0153438,0,0,0,0,0.658208,-1.40453,1.05782,-0.275599,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.943192,0.297586,-0.0022714,-0.000383077,0.000136331,-0.192998,0.487173,-0.428509,0.129427,0.0379777,0.026683,-0.00318755,-0.0041915,0.885737,-2.28522,2.0415,-0.623351,0.3,-3.29414e-18,1.31529e-18,2.87455e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.958912,0.290385,-0.00392631,-0.000458407,-1.95631e-05,-0.297022,0.738987,-0.639865,0.190183,0.0753444,0.0107772,0.00165882,0.000998486,0.936428,-2.33136,2.0178,-0.599449,0.3,-7.93559e-18,-4.92576e-18,4.3502e-18,0,0,0,0,0,0,0,0,0,0,0,0
0.904329,0.27851,-0.00602435,-0.000382486,1.48366e-05,-0.532604,1.40857,-1.29529,0.408669,0.111499,0.0169946,-0.000910402,-0.000504558,1.08549,-2.89101,2.67071,-0.845262,0.3,2.01686e-17,5.90668e-18,-6.90295e-18,0,0,0,0,0,0,0,0,0,0,0,0
0.917743,0.262155,-0.0077964,-0.000384167,-1.09632e-06,-0.625656,1.63166,-1.47912,0.459971,0.145859,0.0131596,0.000115993,0.00020026,0.975797,-2.55159,2.31637,-0.720992,0.3,-1.35905e-17,4.12751e-17,2.92001e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,0.241581,-0.0095421,-0.000343675,6.67756e-06,-0.640724,1.61976,-1.423,0.428801,0.177872,0.0133311,-0.00039542,-9.6018e-05,0.754219,-1.91483,1.68669,-0.509171,0.3,-3.64359e-17,-3.29667e-17,2.14489e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,0.21712,-0.0110916,-0.000313249,4.40485e-06,-0.731668,1.85052,-1.62617,0.490114,0.207024,0.0114715,-0.000237048,3.30316e-05,0.67254,-1.70669,1.50273,-0.453499,0.3,3.73816e-17,-3.13842e-17,-1.88685e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,0.189166,-0.012481,-0.000271073,6.36516e-06,-0.810653,2.05109,-1.80285,0.543449,0.232844,0.0102095,-0.000360369,-2.14821e-05,0.572138,-1.45339,1.28058,-0.38664,0.3,9.48696e-18,2.99703e-17,-7.23094e-18,0,0,0,0,0,0,0,0,0,0,0,0
0.947348,0.158168,-0.0136616,-0.000227426,6.37244e-06,-0.876674,2.21883,-1.95066,0.588079,0.254918,0.0084464,-0.000354942,3.1008e-06,0.465932,-1.18433,1.04386,-0.315235,0.3,-2.17984e-17,2.82457e-18,9.49756e-18,0,0,0,0,0,0,0,0,0,0,0,0
0.917743,0.124625,-0.0146259,-0.000178875,7.07426e-06,-1.0762,2.81253,-2.55282,0.794538,0.27289,0.00669245,-0.000396741,-6.28021e-06,0.40668,-1.06851,0.972958,-0.303469,0.3,1.43563e-17,-4.85169e-18,-6.79463e-18,0,0,0,0,0,0,0,0,0,0,0,0
