Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.22169,0,0,0,0,1.25272,-2.00973,1.18287,-0.247169,0,0,0,0,0,0,0,0,0.5,0,0,0,-1.56826,2.95588,-1.96667,0.452486,0,0,0,0,0,0,0,0
1.1998,0.25,0.314539,-0.0281538,-0.00809576,-0.136829,0.0575116,0.0587604,-0.0300657,0,0,0,0,0,0,0,0,0.35,-0.0977513,-0.00178854,0.0117908,-0.99047,2.00121,-1.39721,0.333705,0,0,0,0,0,0,0,0
1.33666,0.5,0.11137,0.0109023,0.0122746,0.115174,-0.117133,0.0342564,-0.00142973,0,0,0,0,0,0,0,0,0.2,-0.0338549,0.0427828,0.00557823,0.884611,-1.51616,0.910556,-0.189195,0,0,0,0,0,0,0,0
1.17643,0.75,0.256912,0.00964024,0.0117619,0.899542,-2.17409,1.66273,-0.422138,0,0,0,0,0,0,0,0,0.35,0.119556,-0.0130886,-0.000186845,0.0766166,-0.110234,0.0661038,-0.0146935,0,0,0,0,0,0,0,0
1.45161,1,0.0123247,-0.0802722,-0.000468508,-0.621627,0.984327,-0.544643,0.104129,0,0,0,0,0,0,0,0,0.5,0.152316,0.0316268,0.00223426,0.509392,-0.829024,0.465981,-0.0900333,0,0,0,0,0,0,0,0
1.07945,0.75,-0.219378,-0.0134935,-0.00519031,-0.756341,1.84741,-1.49773,0.408658,0,0,0,0,0,0,0,0,0.85,0.20972,-0.0272643,0.0060975,0.636946,-1.77496,1.53402,-0.434836,0,0,0,0,0,0,0,0
1.13848,0.5,-0.175423,-0.00671395,-0.00185585,-0.94194,1.99321,-1.45769,0.365239,0,0,0,0,0,0,0,0,1,0.00125187,-0.0212895,0.000219014,-0.921697,1.65672,-1.08888,0.252773,0,0,0,0,0,0,0,0
1.6129,0.25,-0.175977,0.0105547,-0.00114261,0.0619188,-0.089179,0.0444468,-0.00764021,0,0,0,0,0,0,0,0,0.85,-0.213354,-0.0282653,0.0033017,-0.237816,0.42179,-0.239684,0.0450406,0,0,0,0,0,0,0,0
1.09631,0,-0.15989,-0.00972954,-0.00143762,-1.25323,2.69056,-2.01747,0.520637,0,0,0,0,0,0,0,0,0.5,-0.144478,-0.0332166,-0.0035648,-0.518409,1.44454,-1.23339,0.344442,0,0,0,0,0,0,0,0
1.14691,-0.25,-0.201008,3.95011e-05,-0.00269547,-0.736513,1.60539,-1.19155,0.300743,0,0,0,0,0,0,0,0,0.35,-0.0625585,-0.0197428,-0.00388983,-1.92046,4.14647,-3.05601,0.767507,0,0,0,0,0,0,0,0
1.34931,-0.5,-0.163367,0.0049957,-0.00379666,0.0511072,-0.143047,0.107425,-0.0254515,0,0,0,0,0,0,0,0,0.2,0.000893591,0.0340302,-0.000283631,0.57968,-0.964893,0.567674,-0.115957,0,0,0,0,0,0,0,0
1.21438,-0.75,-0.231609,-0.0154545,-0.00708484,-0.992389,2.2586,-1.66084,0.407369,0,0,0,0,0,0,0,0,0.35,0.130889,-0.00439715,-0.000623964,-0.182802,0.364457,-0.245108,0.0564296,0,0,0,0,0,0,0,0
1.45161,-1,-0.0217313,0.0400016,0.00163256,1.30656,-2.11278,1.19214,-0.231582,0,0,0,0,0,0,0,0,0.5,0.153906,0.0365827,0.00231457,1.08303,-1.87554,1.10177,-0.219869,0,0,0,0,0,0,0,0
1.13848,-0.75,0.120811,-0.00559159,0.00890144,2.64169,-5.6247,4.13652,-1.04101,0,0,0,0,0,0,0,0,0.85,0.0951521,-0.00893123,0.00255056,1.6145,-3.49924,2.6017,-0.659639,0,0,0,0,0,0,0,0
1.13848,-0.5,0.0906095,-0.00430558,0.00399003,1.34143,-2.52368,1.71187,-0.406511,0,0,0,0,0,0,0,0,1,0.0230206,-0.0129469,-0.00352397,-0.206987,-0.081092,0.282479,-0.107498,0,0,0,0,0,0,0,0
1.49193,-0.25,0.264235,0.012112,0.0214529,0.0627774,-0.310272,0.237461,-0.0534079,0,0,0,0,0,0,0,0,0.85,-0.319942,-0.0305937,0.0187079,-0.458358,0.937662,-0.593324,0.122558,0,0,0,0,0,0,0,0
