Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.890016,0,0,0,0,2.28997,-4.83584,3.79314,-1.06609,0,0,0,0,0.000257957,-0.000726916,0.000687796,-0.000221009,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.799379,0.15,0.286773,-0.0108029,-0.0824942,-1.15931,2.72845,-2.22267,0.635443,0,-1.74561e-05,-1.71548e-05,4.59416e-06,-0.000501723,0.00201953,-0.0023822,0.000910068,0.3,-2.67015e-19,2.6664e-17,-2.6416e-18,0,0,0,0,0,0,0,0,0,0,0,0
0.805385,0.3,0.12076,0.0256546,0.0198311,1.85942,-5.35715,5.38311,-1.86712,0,5.87211e-05,3.34612e-05,-2.54773e-05,0.000871933,-0.00382403,0.00464805,-0.00179822,0.3,1.70454e-17,4.12584e-17,-7.39501e-19,0,0,0,0,0,0,0,0,0,0,0,0
0.793033,0.45,0.194096,0.0108849,0.00981343,0.415977,-1.65782,1.97099,-0.762792,0,-0.000144666,-7.35668e-05,6.23248e-05,-0.00202751,0.00922448,-0.0114773,0.00452888,0.3,-2.91546e-17,2.25787e-17,1.37226e-16,0,0,0,0,0,0,0,0,0,0,0,0
0.785068,0.6,0.16239,0.00470451,0.00409897,1.56389,-4.74138,4.99779,-1.80933,0,0.000339582,0.000169112,-0.000146335,0.00441995,-0.0206954,0.0260107,-0.0103204,0.3,-1.20246e-17,4.29474e-17,9.12013e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.785068,0.75,0.176163,0.00198191,0.00181414,1.23406,-3.85088,4.13306,-1.51472,0,-0.000790469,-0.00039245,0.000680409,-0.0124659,0.0535139,-0.0663055,0.0262964,0.3,-3.66101e-17,-4.44457e-17,1.43893e-16,0,0,0,0,0,0,0,0,0,0,0,0
0.785068,0.9,0.169957,0.000755958,0.000860446,1.40628,-4.2836,4.53483,-1.6472,0,0.00181881,0.000921752,-0.000680295,-0.00985888,0.00414033,0.00719949,-0.00458145,0.3,3.05107e-17,1.92194e-17,5.20819e-17,3.55271e-15,-1.42109e-14,1.42109e-14,0,0,0,0,0,0,0,0,0
0.785068,1.05,0.173302,4.17284e-05,0.000518959,1.4137,-4.3626,4.65751,-1.70161,0,-0.00383548,-0.00477439,0.00263792,-0.426077,1.47572,-1.65724,0.622613,0.3,-6.95731e-17,-2.18838e-17,2.28276e-16,3.55271e-15,-1.42109e-14,1.42109e-14,0,0,0,0,0,0,0,0,0
0.816504,1.2,0.169541,0.00195903,0.000341204,1.10266,-3.31253,3.42265,-1.20714,0,0.0268101,0.0225319,0.000235065,1.7579,-5.3125,5.49631,-1.93871,0.3,3.42086e-17,-5.14836e-17,-1.75783e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.816504,1.35,0.161616,0.000807877,0.00142307,1.12913,-3.2696,3.3053,-1.14896,0.05,0.0322368,0.00493352,0.00324725,1.25593,-3.61949,3.64173,-1.26128,0.3,4.69585e-17,2.10883e-17,-1.08355e-17,0,0,0,-3.55271e-15,0,0,0,0,0,0,0,0
0.816504,1.5,0.172177,0.00292175,0.00266318,1.37023,-4.24415,4.46275,-1.59189,0.1,0.0512901,0.00105417,0.00134257,0.436464,-1.25851,1.26857,-0.440104,0.3,-5.43372e-17,1.46257e-17,6.99104e-17,3.55271e-15,0,0,-3.55271e-15,0,0,0,0,0,0,0,0
0.844408,1.65,0.149412,0.00856855,0.00493217,0.552032,-1.4465,1.35118,-0.440133,0.15,0.0586173,0.0030207,0.00116746,0.475445,-1.17636,1.05671,-0.333619,0.3,-2.60239e-18,-3.44201e-17,7.75165e-17,0,7.10543e-15,-7.10543e-15,0,0,0,0,0,0,0,0,0
0.956506,1.8,0.190404,0.00986278,-0.00570416,1.07093,-3.20226,3.04928,-0.960953,0.22,0.0962164,0.00817269,0.00737762,0.472069,-1.48099,1.43346,-0.454792,0.3,6.05076e-17,4.30728e-17,-3.48956e-17,-1.77636e-15,3.55271e-15,-3.55271e-15,0,0,0,0,0,0,0,0,0
0.692912,1.95,0.0369886,-0.022073,0.0104928,3.35561,-11.2891,13.381,-5.47442,0.3,0.0343715,0.0119532,0.0287473,1.82352,-4.13212,3.40157,-0.990154,0.3,-3.1181e-17,7.49168e-17,8.99686e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.762203,2,0.0578356,0.0151179,-0.0269131,2.45385,-8.21049,9.32782,-3.58624,0.4,0.249152,0.0185696,-0.112294,-0.61352,0.245303,1.02269,-0.719508,0.3,2.48501e-17,3.14563e-17,-1.31292e-16,0,0,0,0,0,0,0,0,0,0,0,0
