Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.890016,0,0,0,0,2.28997,-4.83584,3.79314,-1.06609,0,0,0,0,-0.000257957,0.000726916,-0.000687796,0.000221009,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.799379,0.15,0.286773,-0.0108029,-0.0824942,-1.15931,2.72845,-2.22267,0.635443,0,1.74561e-05,1.71548e-05,-4.59416e-06,0.000501723,-0.00201953,0.0023822,-0.000910068,0.3,-2.67015e-19,2.53942e-17,-2.6416e-18,0,0,0,0,0,0,0,0,0,0,0,0
0.805385,0.3,0.12076,0.0256546,0.0198311,1.85942,-5.35715,5.38311,-1.86712,0,-5.87211e-05,-3.34612e-05,2.54773e-05,-0.000871933,0.00382403,-0.00464805,0.00179822,0.3,1.70454e-17,4.12584e-17,-7.39501e-19,0,0,0,0,0,0,0,0,0,0,0,0
0.793033,0.45,0.194096,0.0108849,0.00981343,0.415977,-1.65782,1.97099,-0.762792,0,0.000144666,7.35668e-05,-6.23248e-05,0.00202751,-0.00922448,0.0114773,-0.00452888,0.3,-2.91546e-17,2.25787e-17,1.37226e-16,0,0,0,0,0,0,0,0,0,0,0,0
0.785068,0.6,0.16239,0.00470451,0.00409897,1.56389,-4.74138,4.99779,-1.80933,0,-0.000339582,-0.000169112,0.000146335,-0.00491017,0.0225687,-0.0283968,0.0113335,0.3,-1.20246e-17,4.29474e-17,9.12013e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.785068,0.75,0.176163,0.00198191,0.00181414,1.23406,-3.85088,4.13306,-1.51472,0,0.000790469,0.00039245,-0.000295553,0.0672209,-0.237025,0.270364,-0.102649,0.3,-3.66101e-17,-4.44457e-17,1.43893e-16,0,0,0,0,0,0,0,0,0,0,0,0
0.785068,0.9,0.169957,0.000755958,0.000860446,1.40628,-4.2836,4.53483,-1.6472,0,-0.00368472,-0.000921752,0.00156615,-0.0737231,0.301423,-0.365332,0.143361,0.3,3.05107e-17,1.92194e-17,5.20819e-17,3.55271e-15,-1.42109e-14,1.42109e-14,0,0,0,0,0,0,0,0,0
0.785068,1.05,0.173302,4.17284e-05,0.000518959,1.41436,-4.36512,4.66071,-1.70297,0,0.00882987,0.00477439,-0.00156627,0.214009,-0.872992,1.04466,-0.406118,0.3,-6.95731e-17,-2.18838e-17,2.28276e-16,3.55271e-15,-1.42109e-14,1.42109e-14,0,0,0,0,0,0,0,0,0
0.816504,1.2,0.169541,0.00195903,-0.000175933,1.10519,-3.31719,3.42645,-1.2083,0,-0.0268101,-0.0225319,-0.000102106,-1.75855,5.3137,-5.49729,1.93901,0.3,3.42086e-17,-5.14836e-17,-1.75783e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.816504,1.35,0.161616,0.000807877,0.00142307,1.13295,-3.28365,3.32251,-1.15599,-0.05,-0.0322368,-0.00493352,-0.00324725,-1.25239,3.60758,-3.62849,1.25642,0.3,4.69585e-17,2.10883e-17,-1.08355e-17,0,0,0,-3.55271e-15,0,0,0,0,0,0,0,0
0.816504,1.5,0.172177,0.00292175,-0.000459815,3.35075,-10.508,11.1224,-3.98398,-0.1,-0.0512901,-0.000458335,-0.000583177,-0.449258,1.28774,-1.29488,0.44863,0.3,-5.43372e-17,1.46257e-17,6.99104e-17,3.55271e-15,0,0,-3.55271e-15,0,0,0,0,0,0,0,0
0.844408,1.65,0.0747058,-0.00428428,0.00246609,5.58141,-15.7567,15.4931,-5.2306,-0.15,-0.0586173,-0.0030207,-0.00105628,-0.483436,1.20515,-1.09202,0.348108,0.3,-2.60239e-18,-3.44201e-17,7.75165e-17,0,7.10543e-15,-7.10543e-15,0,0,0,0,0,0,0,0,0
0.956506,1.8,0.0952022,0.00758675,-0.00570416,3.27158,-8.37237,7.37072,-2.21546,-0.22,-0.0962164,-0.00736819,0.00368881,-0.550588,1.62885,-1.54465,0.484918,0.3,6.05076e-17,4.30728e-17,-3.48956e-17,-1.77636e-15,3.55271e-15,-3.55271e-15,0,0,0,0,0,0,0,0,0
0.692912,1.95,0.0369886,-0.022073,0.0104928,3.35561,-11.2891,13.381,-5.47442,-0.3,-0.031098,-0.00597661,-0.0287473,-7.68059,25.8555,-30.5388,12.4475,0.3,-3.1181e-17,7.49168e-17,8.99686e-17,0,0,0,0,0,0,0,0,0,0,0,0
0.762203,2,0.0578356,0.0151179,-0.0269131,2.45385,-8.21049,9.32782,-3.58624,-0.4,-0.124576,-0.0185696,0.0561469,-4.7185,15.7846,-17.9489,6.90661,0.3,2.48501e-17,3.14563e-17,-1.31292e-16,0,0,0,0,0,0,0,0,0,0,0,0
